date; close 
11/07/2018;6394,36
12/07/2018;6253,60
13/07/2018;6229,83
14/07/2018;6268,75
15/07/2018;6364,26
16/07/2018;6740,55
17/07/2018;7326,70
18/07/2018;7383,39
19/07/2018;7477,50
20/07/2018;7333,93
21/07/2018;7405,40
22/07/2018;7398,64
23/07/2018;7718,00
24/07/2018;8395,82
25/07/2018;8170,23
26/07/2018;7937,25
27/07/2018;8182,89
28/07/2018;8230,87
29/07/2018;8216,78
30/07/2018;8176,06
31/07/2018;7735,30
1/08/2018;7610,90
2/08/2018;7542,34
3/08/2018;7417,60
4/08/2018;7017,89
5/08/2018;7042,39
6/08/2018;6945,78
7/08/2018;6723,21
8/08/2018;6285,02
9/08/2018;6543,24
10/08/2018;6153,41
11/08/2018;6242,54
12/08/2018;6322,92
13/08/2018;6263,20
14/08/2018;6199,60
15/08/2018;6274,22
16/08/2018;6323,81
17/08/2018;6591,16
18/08/2018;6405,71
19/08/2018;6502,18
20/08/2018;6269,90
21/08/2018;6491,11
22/08/2018;6366,13
23/08/2018;6538,95
24/08/2018;6708,96
25/08/2018;6749,56
26/08/2018;6720,60
27/08/2018;6915,73
28/08/2018;7091,38
29/08/2018;7052,00
30/08/2018;6998,76
31/08/2018;7026,96
1/09/2018;7203,46
2/09/2018;7301,26
3/09/2018;7270,05
4/09/2018;7369,86
5/09/2018;6705,03
6/09/2018;6515,42
7/09/2018;6411,78
8/09/2018;6200,16
9/09/2018;6249,07
10/09/2018;6324,43
11/09/2018;6295,54
12/09/2018;6337,11
13/09/2018;6492,00
14/09/2018;6486,01
15/09/2018;6522,08
16/09/2018;6502,44
17/09/2018;6261,48
18/09/2018;6346,44
19/09/2018;6398,80
20/09/2018;6505,90
21/09/2018;6762,06
22/09/2018;6716,60
23/09/2018;6702,70
24/09/2018;6583,53
25/09/2018;6437,74
26/09/2018;6462,60
27/09/2018;6686,13
28/09/2018;6635,38
29/09/2018;6603,75
30/09/2018;6623,71
1/10/2018;6594,98
2/10/2018;6525,47
3/10/2018;6492,26
4/10/2018;6579,79
5/10/2018;6632,87
6/10/2018;6589,94
7/10/2018;6601,15
8/10/2018;6650,07
9/10/2018;6631,79
10/10/2018;6581,07
11/10/2018;6209,47
12/10/2018;6250,85
13/10/2018;6267,27
14/10/2018;6277,73
15/10/2018;6612,36
16/10/2018;6583,05
17/10/2018;6574,52
18/10/2018;6488,72
19/10/2018;6469,28
20/10/2018;6490,56
21/10/2018;6509,87
22/10/2018;6483,23
23/10/2018;6470,22
24/10/2018;6476,25
25/10/2018;6462,77
26/10/2018;6457,21
27/10/2018;6470,17
28/10/2018;6470,74
29/10/2018;6313,91
30/10/2018;6309,11
31/10/2018;6342,61
1/11/2018;6381,30
2/11/2018;6394,66
3/11/2018;6376,32
4/11/2018;6467,05
5/11/2018;6433,74
6/11/2018;6479,72
7/11/2018;6529,68
8/11/2018;6446,06
9/11/2018;6377,99
10/11/2018;6396,37
11/11/2018;6408,18
12/11/2018;6375,08
13/11/2018;6339,17
14/11/2018;5741,47
15/11/2018;5647,50
16/11/2018;5586,27
17/11/2018;5568,94
18/11/2018;5615,26
19/11/2018;4809,62
20/11/2018;4441,81
21/11/2018;4593,04
22/11/2018;4320,68
23/11/2018;4343,42
24/11/2018;3854,11
25/11/2018;4004,15
26/11/2018;3784,59
27/11/2018;3822,99
28/11/2018;4263,55
29/11/2018;4286,69
30/11/2018;4009,67
1/12/2018;4197,46
2/12/2018;4143,86
3/12/2018;3871,41
4/12/2018;3948,44
5/12/2018;3737,53
6/12/2018;3485,18
7/12/2018;3420,57
8/12/2018;3461,07
9/12/2018;3592,84
10/12/2018;3467,16
11/12/2018;3401,02
12/12/2018;3485,59
13/12/2018;3305,11
14/12/2018;3235,48
15/12/2018;3232,51
16/12/2018;3255,37
17/12/2018;3548,19
18/12/2018;3715,85
19/12/2018;3736,54
20/12/2018;4137,66
21/12/2018;3898,81
22/12/2018;4045,24
23/12/2018;4007,63
24/12/2018;4081,95
25/12/2018;3834,73
26/12/2018;3848,78
27/12/2018;3646,09
28/12/2018;3947,86
29/12/2018;3797,06
30/12/2018;3896,21
31/12/2018;3747,39
1/01/2019;3880,15
2/01/2019;3961,01
3/01/2019;3835,86
4/01/2019;3874,06
5/01/2019;3855,39
6/01/2019;4102,85
7/01/2019;4050,40
8/01/2019;4040,75
9/01/2019;4048,34
10/01/2019;3668,15
11/01/2019;3669,20
12/01/2019;3664,38
13/01/2019;3551,24
14/01/2019;3703,90
15/01/2019;3621,24
16/01/2019;3643,99
17/01/2019;3685,30
18/01/2019;3648,05
19/01/2019;3729,78
20/01/2019;3567,73
21/01/2019;3571,92
22/01/2019;3602,04
23/01/2019;3572,05
24/01/2019;3598,52
25/01/2019;3582,89
26/01/2019;3596,50
27/01/2019;3565,08
28/01/2019;3453,42
29/01/2019;3418,25
30/01/2019;3467,21
31/01/2019;3434,13
1/02/2019;3461,63
2/02/2019;3508,68
3/02/2019;3449,62
4/02/2019;3431,24
5/02/2019;3447,66
6/02/2019;3394,89
7/02/2019;3375,33
8/02/2019;3660,03
9/02/2019;3652,26
10/02/2019;3685,14
11/02/2019;3611,34
12/02/2019;3617,41
13/02/2019;3605,87
14/02/2019;3588,72
15/02/2019;3593,49
16/02/2019;3617,24
17/02/2019;3670,92
18/02/2019;3912,57
19/02/2019;3924,24
20/02/2019;3974,05
21/02/2019;3937,04
22/02/2019;3983,53
23/02/2019;4149,09
24/02/2019;3771,62
